month,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
#date+month,#event+id,,#event+code,#event+code,#date+occurred,#date+year,#meta+time_precision,#event+type,#event+subtype,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,#geo+precision+code,#meta+source,,#description,#affected+killed,#date+updated,#country+code
2019-05,5179796,356,IND53155,53155,2019-05-04,2019,2,Riots,Mob violence,Rioters (India),,5,Civilians (India),,7,57,Southern Asia,India,Jammu and Kashmir,Shopian,Shopian,Dom Pora,33.8175,74.8796,1,Rising Kashmir,Subnational,"Between 4 and 5 May, an upper primary school was set alight a Dom Pora village (Shopian, J&K) amid rioting in the lead up to elections in the area. [size=no report]",0,1557838715,IND
2019-05,6046202,760,SYR59597,59597,2019-05-04,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-),,8,Civilians (Syria),,7,78,Middle East,Syria,Idleb,Ariha,Ehsem,Arnaba,35.7015,36.4583,1,SNHR; Liveuamap,Local partner-Other,"On 4 May 2019, Russian warplanes carried out raids on the town of Arnaba which killed a woman and a child. Airstrikes impacted near a primary school in the town, partially destroying its building and damaging its furniture. Fatalities coded to 2.",2,1571164399,SYR
2019-05,6046217,760,SYR59630,59630,2019-05-04,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-),,8,,,0,80,Middle East,Syria,Idleb,Ariha,Ehsem,Kansafra,35.6599,36.4849,1,Liveuamap; SOHR; SNHR,Local partner-Other,"On 4 May 2019, Russian warplanes carried out 2 raids on the town of Kansafra with neither injuries nor fatalities reported. Airstrikes occurred near a school, partially damaging its building.",0,1571164399,SYR
2019-05,6046218,760,SYR59633,59633,2019-05-04,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-),,8,,,0,80,Middle East,Syria,Idleb,Ariha,Mhambal,Lajj,35.6993,36.4247,1,SNHR; Liveuamap,Local partner-Other,"On 4 May 2019, Russian warplanes carried out raids on the town of Lajj in Idleb, impacting a primary school and partially destroying its building and damaging its furniture. Neither injuries nor fatalities were reported.",0,1571164399,SYR
2019-05,6046285,760,SYR59723,59723,2019-05-04,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Syria (2000-) Syrian Arab Air Force,Military Forces of Russia (2000-); Militia (Pro-Government),1,Civilians (Syria),,7,17,Middle East,Syria,Idleb,Al Ma'ra,Khan Shaykun,Al-Hibet,35.4395,36.5361,1,SNHR; Liveuamap; SOHR,Local partner-Other,"On 4 May 2019, regime and Russian warplanes carried out at least 3 raids on the town of Al-Hibet which destroyed a school. Concurrently, loyalist militia fighter fired rockets at the town which killed 2 civilians and wounded others.",2,1571164399,SYR
2019-05,6046301,760,SYR59743,59743,2019-05-04,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Syria (2000-) Syrian Arab Air Force,,1,Civilians (Syria),,7,17,Middle East,Syria,Idleb,Al Ma'ra,Kafr Nobol,Sfuhen,35.6073,36.4645,1,SNHR; SOHR; Liveuamap,Local partner-Other,"On 4 May 2019, regime helicopters dropped 3 barrel bombs on the outskirts of the town of Sfuhen which killed a woman. The barrels impacted a primary school in the town, partially destroying its fence and damaging its building and furniture.",1,1571164399,SYR
2019-05,6046380,760,SYR60025,60025,2019-05-04,2019,1,Explosions/Remote violence,Shelling/artillery/missile attack,Militia (Pro-Government),,3,Civilians (Syria),,7,37,Middle East,Syria,Idleb,Al Ma'ra,Heish,Kafrsajna,35.5271,36.5896,1,Liveuamap; SNHR,Local partner-Other,"On 4 May 2019, loyalist militia fighters fired rocket shells at the town of Kafrsajna which impacted Kafrsajna high school partially destroying its building and damaging its furniture and wounded two civilians. No fatalities were reported.",0,1571164400,SYR
2019-05,5156004,887,YEM31132,31132,2019-05-03,2019,1,Explosions/Remote violence,Shelling/artillery/missile attack,National Resistance Forces,,3,,,0,30,Middle East,Yemen,Al Hudaydah,Al Hawak,,Al Hudaydah-Al Hudaydah University,14.7760,42.9560,1,Al Masirah,National,"On 3 May, anti-Houthi forces reportedly fired artillery shells at the Medicine faculty of Al Hudaydah University in Al Hawak district, south of Al Hudaydah city, western Yemen, causing material damages. No fatalities nor injuries reported.",0,1557183149,YEM
2019-05,5604945,356,IND52772,52772,2019-05-03,2019,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (India),,3,Police Forces of India (2014-) Central Reserve Police Force,,1,13,Southern Asia,India,Jammu and Kashmir,Pulwama,Pulwama,Pulwama,33.8741,74.9001,1,Daily Excelsior,Subnational,"On 3 May, suspected militants threw a grenade at a CRPF party stationed at Central High School Washbugh in Pulwama town (J&K). No damage or injuries were reported.",0,1563366779,IND
2019-05,5179332,356,IND53145,53145,2019-05-03,2019,1,Riots,Mob violence,Rioters (India),,5,Civilians (India),Health Workers (India),7,57,Southern Asia,India,West Bengal,Nadia,Kalyani,Kalyani,22.9751,88.4342,1,Telegraph (India),National,"On May 3, an intern and a senior doctor were beaten by a mob inside the paediatric ward of Kalyani College of Medicine and Jawaharlal Nehru Memorial Hospital in Kalyani city (Nadia, West Bengal), after the death of a one-and-half year old child. [size=no report]",0,1557838714,IND
2019-05,5184799,710,SAF11074,11074,2019-05-03,2019,1,Riots,Violent demonstration,Rioters (South Africa),,5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,North-West,Ngaka Modiri Molema,Ratlou,Kraaipan,-26.2833,25.3000,1,Times (South Africa),National,03 May. A man has been arrested for setting alight Tlhakajeng Primary School in Kraaipan village during a demonstration. [size=no size]. ,0,1558389801,ZAF
2019-05,6046295,760,SYR59736,59736,2019-05-03,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Syria (2000-) Syrian Arab Air Force,,1,Civilians (Syria),,7,17,Middle East,Syria,Idleb,Al Ma'ra,Kafr Nobol,Maaret Harma,35.5458,36.5442,1,Liveuamap; SOHR; SNHR,Local partner-Other,"On 3 May 2019, regime helicopters dropped 2 barrel bombs on the town of Maaret Harma which wounded civilians. The barrels impacted a school complex in the town, severely damaging their buildings. No fatalities were reported.",0,1571164399,SYR
2019-05,6046297,760,SYR59738,59738,2019-05-03,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Syria (2000-) Syrian Arab Air Force,,1,Civilians (Syria),,7,17,Middle East,Syria,Idleb,Al Ma'ra,Khan Shaykun,Al-Hibet,35.4395,36.5361,1,Liveuamap; SNHR; SOHR,Local partner-Other,"On 3 May 2019, regime helicopters dropped 5 barrel bombs while regime warplanes carried out raids on the town of Al-Hibet which killed a civilian. The shelling impacted a school complex, partially destroying a school's building and damaging its furniture.",1,1571164399,SYR
2019-05,6046319,760,SYR59779,59779,2019-05-03,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Syria (2000-) Syrian Arab Air Force,,1,,,0,10,Middle East,Syria,Idleb,Ariha,Ehsem,Kansafra,35.6599,36.4849,1,SOHR; Liveuamap; SNHR,Local partner-Other,"On 3 May 2019, regime helicopters dropped 11 barrel bombs while regime warplanes carried out raids on the town of Kansafra with neither injuries nor fatalities reported. The barrels impacted a primary school in the southeastern outskirts of the village, severely damaging its building and yard.",0,1571164400,SYR
2019-05,6226144,854,BFO1689,1689,2019-05-02,2019,1,Strategic developments,Looting/property destruction,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Burkina Faso),,7,27,Western Africa,Burkina Faso,Centre-Nord,Sanmatenga,Mane,Minima,13.4656,-1.4497,1,AIB (Burkina Faso); Infowakat,National,"On May 2, presumed JNIM militants burned a school in the village of Minima.",0,1572403604,BFA
