data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
#event+id,#country+code,#event+code,#event+code,#date+occurred,#date+year,#meta+time_precision,#event+type,#event+subtype,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,#geo+precision+code,#meta+source,,#description,#affected+killed,#date+updated,#country+code
5731686,4,AFG24105,24105,2019-08-27,2019,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,3,Civilians (Afghanistan),Teachers (Afghanistan),7,37,Southern Asia,Afghanistan,Nangarhar,Jalalabad,,Jalalabad,34.4265,70.4515,1,Afghan Islamic Press News Agency,National,"On 27 August 2019 in the evening, a magnetic mine attached to the victim's car went off in PD7 of Jalalabad city, Nangarhar. The head of the literature faculty at Nangarhar University was killed while 3 other lecturers were wounded.",1,1567458863,AFG
6048606,760,SYR66599,66599,2019-08-27,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Syria (2000-) Syrian Arab Air Force,,1,Civilians (Syria),Teachers (Syria); Muslim Group (Syria),7,17,Middle East,Syria,Idleb,Al Ma'ra,Ma'arrat An Nu'man,Telamnas,35.6397,36.7367,1,Liveuamap; SOHR; SNHR,Local partner-Other,"On 27 August 2019, regime warplanes carried out airstrikes on Telamnas in southern Idleb countryside amid regime barrel bomb deployment, killing the Imam of a mosque who's also a teacher in the town's high school.",1,1571164403,SYR
5923674,360,IDN1132,1132,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (Indonesia),Students (Indonesia),6,,,0,60,South-Eastern Asia,Indonesia,East Java,Surabaya,Surabaya,Surabaya,-7.2492,112.7510,1,Detik,National,"On August 27, 2019, dozens of students held a peaceful protest in front of their university in Surabaya city, East Java province, regarding an allegation of corruption within the university management. [size=dozens]",0,1567515036,IDN
5924101,764,THA7333,7333,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (Thailand),Students (Thailand),6,,,0,60,South-Eastern Asia,Thailand,Bangkok,Bang Rak,,Suriya Wong,13.7253,100.5190,1,Bangkok Post,National,"On 27 August 2019, hundreds of students and parents gathered in front of a school in kwaeng Suriya Wong, Bang Rak district of Bangkok, Thailand, to demand a fair investigation into the suspension of the school director and an end to school interference by the Thai Church of Christ. [size=hundreds]",0,1567515037,THA
5928744,50,BGD16511,16511,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (Bangladesh),Students (Bangladesh),6,,,0,60,Southern Asia,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka-Shahbagh,23.7406,90.3943,1,Dhaka Tribune,National,"On Aug 27, Chittagong Hill Tracts based student organizations staged a protest demonstration in front of Raju Memorial Sculpture in Dhaka University campus (Shahbagh, Dhaka city) against the killing of three activists of a faction of United People's Democratic Front (UPDF). [size=no report]",0,1567533969,BGD
5930790,356,IND60926,60926,2019-08-27,2019,1,Riots,Mob violence,Rioters (India),Students (India); Bengali Ethnic Group (Bangladesh),5,Civilians (India),Students (India),7,57,Southern Asia,India,Manipur,Imphal West,Imphal,Imphal,24.7908,93.9302,1,Imphal Times,Subnational,"On 27 August, local residents and hundreds of Bengali students attacked non-local students from Manipur, Nagaland, Meghalaya, Assam and Mizoram at ICFAI University campus in Imphal city (Imphal West district, Manipur) after an eve teasing incident occurred between local and non-local students earlier on 26 August. [size=hundreds]",0,1567533973,IND
5930791,356,IND60927,60927,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (India),Students (India),6,,,0,60,Southern Asia,India,Manipur,Imphal West,Imphal,Imphal,24.7908,93.9302,1,Sangai Express,Subnational,"On 27 August, students staged a sit in protest in Imphal city (Imphal West district, Manipur) strongly condemning the incident of mugging of Assistant Professor from Manipur University of Culture. [size=no report]",0,1567533973,IND
5930803,356,IND60939,60939,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (India),Health Workers (India),6,,,0,60,Southern Asia,India,Maharashtra,Aurangabad,Aurangabad,Aurangabad,19.8775,75.3422,1,Times of India,National,"On 27 August, members of the Maharashtra Government Nurses Federation (MGNF) held a protest in the premises of the Government Medical College and Hospital in Aurangabad (Aurangabad, Maharashtra), demanding appointment of staff on vacant posts, exemption of nurses from transfer policy, and addressing the discrepancies of sixth pay commission and payment of seventh pay commission. [size=no report]",0,1567533973,IND
5930805,356,IND60941,60941,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (India),Students (India); Women (India),6,,,0,60,Southern Asia,India,Odisha,Dhenkanal,Dhenkanal,Dhenkanal,20.6513,85.5975,1,Orissa TV,Subnational,"On 27 August, female students of the ladies hostel of Dhenkanal Autonomous College in Dhenkanal (Dhenkanal, Odisha) started a protest over water shortage by locking the main gate of the college. [size=no report]",0,1567533973,IND
5930806,356,IND60942,60942,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (India),ABVP: Akhil Bharatiya Vidyarthi Parishad; Students (India),6,,,0,60,Southern Asia,India,Odisha,Mayurbhanj,Baripada,Baripada,21.9345,86.7285,1,Pioneer (India),National,"On 27 August, ABVP workers held a massive demonstration at the gate of the North Orissa University in Baripada (Mayurbhanj, Odisha) and burnt the effigy of State Higher Education Minister opposing the State Government's decision to cancel students' union elections this year. [size=no report]",0,1567533973,IND
5932230,356,IND61179,61179,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (India),Students (India),6,,,0,60,Southern Asia,India,Haryana,Karnal,Karnal,Taprana,29.7384,77.0187,1,Chandigarh Tribune,Subnational,"On 27 August, scores of students blocked the road at Taprana village (Karnal, Haryana) to oppose attending classes at the Government Senior Secondary School. [size=scores]",0,1567533975,IND
5932236,356,IND61185,61185,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (India),Teachers (India),6,,,0,60,Southern Asia,India,Punjab,Sahibzada Ajit Singh Nagar,Sahibzada Ajit Singh Nagar,Mohali,30.6799,76.7221,1,Hindustan Times,National,"On 27 August, members of the Punjab Unemployed ETT and TET union continued their demonstration for the second day outside the Punjab School Education Board office, Phase 8, in Mohali city (Sahibzada Ajit Singh Nagar, Punjab) to oppose the new teacher recruitment policy. [size=no report]",0,1567533975,IND
5932253,356,IND61202,61202,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (India),Health Workers (India); Students (India),6,,,0,60,Southern Asia,India,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore,11.0055,76.9661,1,Times of India,National,"On August 27, around 50 to 60 postgraduate service students and doctors from the Coimbatore Medical College Hospital protested in front of the dean's office in Coimbatore city (Coimbatore, TN), demanding promotions and a pay hike. [size=around 50 to 60]",0,1567533975,IND
5932261,356,IND61210,61210,2019-08-27,2019,1,Riots,Mob violence,Rioters (India),Students (India),5,Rioters (India),SFI: Students Federation of India; Students (India),5,55,Southern Asia,India,Kerala,Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram,8.4855,76.9492,1,Times of India,National,"On August 27, a clash took place between SFI and KSU activists at the government law college in Thiruvananthapuram city (Thiruvananthapuram, Kerala). Seven SFI members suffered injuries in the attack using hockey sticks and motorcycle crash guards. The reason for the clash is not mentioned in the source. [size=no report]",0,1567533975,IND
5932390,524,NEP6495,6495,2019-08-27,2019,1,Riots,Violent demonstration,Rioters (Nepal),Students (Nepal),5,,,0,50,Southern Asia,Nepal,Central,Janakpur,Sarlahi,Haripurwa,26.8942,85.6881,1,Janakpur Today,Subnational,"On August 27, students demonstrated by burning tires in Haripurwa Bazar Chowk (Sarlahi district, Janakpur). The demonstrators were expressing dissatisfaction after their school was padlocked over a dispute between two groups. [size=no report]",0,1567533975,NPL
5932391,524,NEP6496,6496,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (Nepal),,6,,,0,60,Southern Asia,Nepal,Central,Janakpur,Sarlahi,Haripurwa,26.8942,85.6881,1,Janakpur Today,Subnational,"On August 27, a group of locals protested by padlocking the Keshwar Garib Janata Secondary School in Haripurwa Municipality (Sarlahi district, Janakpur). The protest had resulted after a dispute between two parties over providing transfer letter to one of the teachers. [size=no report]",0,1567533975,NPL
5932495,586,PAK52559,52559,2019-08-27,2019,2,Protests,Peaceful protest,Protesters (Pakistan),Labour Group (Pakistan),6,,,0,60,Southern Asia,Pakistan,Sindh,Khairpur,Khairpur,Khairpur,27.5271,68.7452,1,News International (Pakistan),National,"As reported on August 27, dissenting office-bearers of Employees' Welfare Association (EWA) of Shah Abdul Latif University, (SALU) Khairpur locked down the door of the office of employees association and raised slogans in Khairpur city (Khairpur, Sindh) against the President and General Secretary of EWA for calling off a strike under alleged pressure from a MNA. [size=no report]",0,1567533975,PAK
5932502,586,PAK52566,52566,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (Pakistan),Students (Pakistan),6,,,0,60,Southern Asia,Pakistan,Khyber Pakhtunkhwa,Shangla,Alpuri,Damorai,34.9952,72.7511,1,Dawn (Pakistan),National,"On August 27, students of GHS Damorai along with locals held a protest walk in Damorai bazaar (Shangla, KP) and later along with political activists blocked Ajmeer-Karora road demanding early reconstruction of local government high school's building. [size=no report]",0,1567533975,PAK
5932506,586,PAK52570,52570,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (Pakistan),Teachers (Pakistan); Students (Pakistan),6,,,0,60,Southern Asia,Pakistan,Sindh,Khairpur,Khairpur,Khairpur,27.5271,68.7452,1,Daily Regional Times (Pakistan),Subnational,"On August 27, students and teachers of Khairpur Medical College held a rally culminating outside Khairpur Press Club in Khairpur city (Khairpur, Sindh) to express solidarity with Kashmiris of Indian Administered J&K. [size=no report]",0,1567533975,PAK
5932514,586,PAK52578,52578,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (Pakistan),,6,,,0,60,Southern Asia,Pakistan,Sindh,Hyderabad,Hyderabad,Hyderabad,25.3942,68.3736,1,Daily Regional Times (Pakistan),Subnational,"On August 27, residents of Jabal Chhuto protested outside Hyderabad Press Club in Hyderabad city (Hyderabad, Sindh) demanding a school in their village. [size=no report]",0,1567533975,PAK
5727245,854,BFO1961,1961,2019-08-26,2019,1,Protests,Peaceful protest,Protesters (Burkina Faso),Health Workers (Burkina Faso),6,,,0,60,Western Africa,Burkina Faso,Nord,Yatenga,Ouahigouya,Ouahigouya,13.5828,-2.4216,1,Faso Nord,Subnational,"On August 26, health workers at the University Hospital in Ouahigouya staged a sit-in reaction to poor working conditions. [size=dozens]",0,1567450156,BFA
